Stock_Name,Stock_Species,Stock_Abundance,Forecasting_Year,Run_Year,Brood_Year,Age_Class,Average_Escapement,CV_Escapement,Average_Terminal_Run,CV_Terminal_Run,Average_Production,CV_Production
,,,NA,2011,2008,3,NA,NA,20567,NA,NA,NA
,,,NA,2014,2009,5,NA,NA,2490,NA,NA,NA
,,,NA,2013,2009,4,NA,NA,29066,NA,NA,NA
,,,NA,2012,2009,3,NA,NA,16033,NA,NA,NA
,,,NA,2015,2010,5,NA,NA,2378,NA,NA,NA
,,,NA,2014,2010,4,NA,NA,29375,NA,NA,NA
,,,NA,2013,2010,3,NA,NA,19489,NA,NA,NA
,,,NA,2016,2011,5,NA,NA,3510,NA,NA,NA
,,,NA,2015,2011,4,NA,NA,92156,NA,NA,NA
,,,NA,2014,2011,3,NA,NA,15538,NA,NA,NA
,,,NA,2016,2012,4,NA,NA,20028,NA,NA,NA
,,,NA,2015,2012,3,NA,NA,12528,NA,NA,NA
,,,NA,2016,2013,3,NA,NA,25615,NA,NA,NA
